"Incident_ID","Reliability","Date","Quarter","Full_Location","School","City","State","School_Level","Location","Location_Type","During_School","Time_Period","Situation","Bullied","Domestic_Violence","Gang_Related","Preplanned","Shots_Fired","lon","lat"
"20200212MOJOF","4",2020-02-12,"Winter","Johnson-Wabash Elementary School Ferguson MO","Johnson-Wabash Elementary School","Ferguson","MO","Elementary","School Bus","School Bus","Yes","School Start","Escalation of Dispute",NA,"No","No","No","0",-90.3135891,38.7555804
"20200201TXHIH","3",2020-02-01,"Winter","Hicks Elementary School Houston TX","Hicks Elementary School","Houston","TX","Elementary","Outside on School Property","Outside on School Property","No","Not a School Day","Illegal Activity","No","No","No","No","1",-95.626664,29.6872352
"20200131CADEA","4",2020-01-31,"Winter","Deer Valley High School Antioch CA","Deer Valley High School","Antioch","CA","High","Parking Lot","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No",NA,-121.7752723,37.9637451
"20200128TNWHM","4",2020-01-28,"Winter","White Station High School Memphis TN","White Station High School","Memphis","TN","High","Parking Lot","Outside on School Property","No","Evening","Drive-by Shooting","No","No","No","No","5",-89.9059258,35.1188658
"20200128NYMAQ","4",2020-01-28,"Winter","Martin Van Buren High School Queens NY","Martin Van Buren High School","Queens","NY","High","Beside Building","Outside on School Property","Yes","Dismissal","Escalation of Dispute","No","No","No","No","1",-73.7391435,40.7336309
"20200121ILLIC","3",2020-01-21,"Winter","Lindblom Math & Science Academy High School Chicago IL","Lindblom Math & Science Academy High School","Chicago","IL","High","Front of School","Outside on School Property","No","Sport Event","Illegal Activity","No","No","No","No",NA,-87.6718901,41.7820798
"20200119TXNOF","4",2020-01-19,"Winter","North Crowley Ninth Grade Campus Fort Worth TX","North Crowley Ninth Grade Campus","Fort Worth","TX","High","Parking Lot","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No",NA,-97.398674,32.6059455
"20200114TXPOM","4",2020-01-14,"Winter","Poteet High School Mesquite TX","Poteet High School","Mesquite","TX","High","Parking Lot","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No",NA,-96.6092366,32.807338
"20200111TXELD","4",2020-01-11,"Winter","Ellis Davis Field House Dallas TX","Ellis Davis Field House","Dallas","TX","High","Gym","Inside School Building","No","Sport Event","Escalation of Dispute","No","No","No","No",NA,-96.842252,32.6373524
"20200110MSMCJ","4",2020-01-10,"Winter","McWillie Elementary School Jackson MS","McWillie Elementary School","Jackson","MS","Middle","School Bus","School Bus","Yes","School Start","Unknown","No","No","No","No",NA,-90.1535179,32.363361
"20191221LAWES","4",2019-12-21,"Winter","West St. John Elementary School St. John the Baptist Parish LA","West St. John Elementary School","St. John the Baptist Parish","LA","Elementary","Parking Lot","Outside on School Property","No","Night","Escalation of Dispute","No","No","No","No",NA,-90.566214,30.0449509
"20191219FLLEN","5",2019-12-19,"Winter","Lely High School Naples FL","Lely High School","Naples","FL","High","Parking Lot","Outside on School Property","No","Evening","Domestic w/ Targeted Victim","No","Yes","No","No",NA,-81.7167789,26.0884572
"20191211KSCHT","3",2019-12-11,"Winter","Chase Middle School Topeka KS","Chase Middle School","Topeka","KS","Middle","School Bus","School Bus","Yes","Dismissal","Unknown","No","No","No","No","<10",-95.6418863,39.061307
"20191211INEVE","3",2019-12-11,"Winter","Evans Elementary School Evansville IN","Evans Elementary School","Evansville","IN","Elementary","School Bus","School Bus","No","After School","Unknown","No","No","No","No",NA,-87.5497123,38.0058809
"20191210NJSAJ","4",2019-12-10,"Winter","Sacred Heart School Jersey City NJ","Sacred Heart School","Jersey City","NJ","K-8","Off School Property","Off School Property","Yes","Afternoon Classes","Indiscriminate Shooting","No","No","No","No",">100",-74.0833039,40.706945
"20191210ALDED","4",2019-12-10,"Winter","Decatur High School Decatur AL","Decatur High School","Decatur","AL","High","Parking Lot","Outside on School Property","Yes","School Start","Domestic w/ Targeted Victim","No","Yes","No","No","<10",-86.9717992,34.5936128
"20191203WITHM","4",2019-12-03,"Winter","Thomas Jefferson Middle School Madison WI","Thomas Jefferson Middle School","Madison","WI","Middle","School Bus","School Bus","Yes","Dismissal","Unknown","No","No","No","No","1",-89.5013096,43.0656772
"20191202WIWAW","5",2019-12-02,"Winter","Waukesha South High School Waukesha WI","Waukesha South High School","Waukesha","WI","High","Classroom","Inside School Building","Yes","Morning Classes","Bullying",NA,"No","No",NA,NA,-88.2223542,42.9929133
"20191201ALMOM","4",2019-12-01,"Winter","Mountain Brook High School Mountain Brook AL","Mountain Brook High School","Mountain Brook","AL","High","Parking Lot","Outside on School Property","No","Night","Domestic w/ Targeted Victim","No","Yes","No","No",NA,-86.7123891,33.4904353
"20191126WASAV","4",2019-11-26,"Fall","Sarah J. Anderson Elementary School Vancouver WA","Sarah J. Anderson Elementary School","Vancouver","WA","Elementary","Parking Lot","Outside on School Property","Yes","Dismissal","Domestic w/ Targeted Victim","No","Yes","No","No","<10",-122.6489546,45.6953984
"20191114CASAS","4",2019-11-14,"Fall","Saugus High School Santa Clarita CA","Saugus High School","Santa Clarita","CA","High","Courtyard","Outside on School Property","Yes","School Start","Indiscriminate Shooting","No","No","No","Yes","6",-118.5174823,34.4422352
"20191111MDACB","4",2019-11-11,"Fall","Achievement Academy Baltimore MD","Achievement Academy","Baltimore","MD","High","Parking Lot","Outside on School Property","Yes","Afternoon Classes","Escalation of Dispute","No","No","No","No","<10",-76.5929572,39.3175424
